why is love intensified by absence? | love, yearning
don't cry over someone who wouldn't cry over you. | crying, heartache, love, sadness, tears
after all, damn it, what does being in love mean if you can't trust a person. | love, trust
i had never thought i could love another person this much. i also never thought i’d live in such fear of losing another person. was this how everyone in love felt? did they all cling tightly to their beloved and wake up terrified in the middle of the night, afraid of being alone? was that an inevitable way of life when you loved so deeply? or was it just those of us who walked on a precipice who lived in such panic? | adrian-ivashkov, bloodlines-series, love, richelle-mead, sydney-sage, the-fiery-heart
"when you loved someone and had to let them go, there will always be that small part of yourself that whispers, ""what was it that you wanted and why didn't you fight for it? | best-friends, betrayal, boyfriends, break-ups, dating, divorce, family, friends, friendships, girlfriends, lost-love, love, loved-ones, lovers, marriage, moving-on, parents, ponderings, reflection, relationships, romance, senseless, soulmates, true-love, unrequited-love"
if anyone were to find out—” i began.patch kissed me, hard, but with an amused glint in his eye. “if i get caught, it’ll mean the end of kissing you. do you really think i’d risk that?” his face grew serious. “i know i can’t feel your touch, but i feel your love, nora. inside me. it means everything to me. i wish i could feel you the same way you feel me, but i have your love. nothing will ever outweigh that. some people go their entire lives never feeling the emotions you’ve given me. there is no regret in that. | love, nora, patch
let us begin this letter, this prelude to an encounter, formally, as a declaration, in the old-fashioned way: i love you. you do not know me (although you have seen me, smiled at me). i know you (although not so well as i would like. i want to be there when your eyes flutter open in the morning, and you see me, and you smile. surely this would be paradise enough?). so i do declare myself to you now, with pen set to paper. i declare it again: i love you. | four-letter-word, love
and in the end, we were all just humans.. drunk on the idea that love, only love, could heal our brokenness. | brokenness, drunk, love, misattributed-f-scott-fitzgerald
i wonder if it's medically possible to be addicted to another human being. | brittany, love, perfect-chemistry
never doubt that a small group of thoughtful, committed, citizens can change the world. indeed, it is the only thing that ever has. | activism, change, inspirational, life, philosophy, world
then, one stupid person, no different from any other stupid person, wanders into your stupid life...you give them a piece of you. they don't ask for it. they do something dumb one day like kiss you or smile at you, and then your life isn't your own anymore. | independence, interdependence, life, love
"adrian smiled and clasped my hands, taking a few steps toward me. ""and as for who you are, you’re the same beautiful, brave, and ridiculously smart caffeinated fighter you’ve been since the day i met you.” finally, he put “beautiful” at the top of his list of adjectives. not that i should have cared.“sweet talker,” i scoffed. “you didn’t know anything about me the first time we met.”“i knew you were beautiful,” he said. “i just hoped for the rest. | adrian-ivashkov, attraction, cute, happiness, love, sydney-sage"
simplicity, patience, compassion.these three are your greatest treasures.simple in actions and thoughts, you return to the source of being.patient with both friends and enemies,you accord with the way things are.compassionate toward yourself,you reconcile all beings in the world. | inspirational, life, philosophy
isn't it funny.i'm enjoying my hatred so much more than i ever enjoyed love. love is temperamental. tiring. it makes demands. love uses you, changes its mind. but hatred, now, that's something you can use. sculpt. wield. it's hard, or soft, however you need it. love humiliates you, but hatred cradles you. | cradle, enjoy, hate, hatred, humiliate, love, sculpt, soft, tiring, use
something that is yours forever is never precious | life, love, my-name-is-asher-lev, value
and all i loved, i loved alone. | love
once you figure out who you are and what you love about yourself, i think it all kind of falls into place. | fall, figure, love, place, you, yourself
i drive around the streetsan inch away from weeping,ashamed of my sentimentality andpossible love. | love, sentimentality, weep, weeping
"i love mankind, he said, ""but i find to my amazement that the more i love mankind as a whole, the less i love man in particular. | humanity, individuals, love, mankind"
hatred would have been easier. with hatred, i would have known what to do. hatred is clear, metallic, one-handed, unwavering; unlike love. | hatred, love
you have within you,right now,everything you need to deal with whatever the world can throw at you. | future, inspiring, love
it's not enough to believe! don't you see that, you stupid girl? you could spend your whole life hoping and believing! if a love affair is one-sided, then it's only ever a question, never an answer. you can't live your life waiting for an answer. | love
"if you don't like cinderella because she seems so ""naive"" and ""weak,"" listen to this quote from the walt himself: ""she believed in dreams, all right, but she also believed in doing something about them. when prince charming didn't come along, she went over to the palace and got him. | cinderella, disney, love"
it’s not that we have to quit this life one day, it’s how many things we have to quit all at once: holding hands, hotel rooms, music, the physics of falling leaves, vanilla and jasmine, poppies, smiling, anthills, the color of the sky, coffee and cashmere, literature, sparks and subway trains... if only one could leave this life slowly! | beauty, death, dying, life, loss, love, regret, sorrow, time
you're still alive. and that means you'll love and be loved...and in the end, nothing else really matters. | alive, love
the moment our lips met, i knew with pure and piercing certainty that i would have waited for him forever. | alina, love
i could still feel the ghost of him hovering in the quiet, dark recess of my heart. it was as if he was just waiting for me to be lonely, or to let my guard down, so that he could surface and fill my mind again with thoughts of him. | love, romance
love in action is a harsh and dreadful thing compared to love in dreams. | love
watch out for intellect,because it knows so much it knows nothingand leaves you hanging upside down,mouthing knowledge as your heartfalls out of your mouth. | intellect, love, poetry
i don't care what you say to me. i care what you share with me. | life-lessons, love, poetry, share
what if love wasn't the act of finding what you were missing but the give-and-take that made you both match? | love
and i'm dying to know, is it killing you like it's killing me? and the story of us looks a lot like a tragedy now. | heartbreak, love, realtionship
"look,"" i said, ""we knew jason and becky would be back, the break would end. this isn't a surprise, it's what's supposed to happen. it's what we wanted. right?""""is it?"" he asked. ""is it what you want?""whether he intended it to be or not, this was the final question, the last truth. if i said what i really thought, i was opening myself up for a hurt bigger than i could even imagine. i didn't have it in me. we changed and altered so many rules, but it was this one, the only one when we'd started, that i would break.""yes,"" i said. | love"
when you find love, you take it. you grab it with both hands and you do everything in your power not to let it go. you can’t just walk away from it and expect it to linger until you’re ready for it. | love
he'd only been gone two seconds, but the room got brighter when they were together, as if they were two elements that became brilliant in proximity. at sam's clumsy efforts to carry the vacuum, grace smiled a new smile that i thought only he ever got, and he shot her a withering look full of the sort of subtext you could only get from a lot of conversations whispered after dark.it made me think of isabel, back at her house. we didn't have what sam and grace had. we weren't even close to having it. i didn't think what we had could get to this, even if you gave it a thousand years. | cole, grace-brisbane, linger, love, sam-roth
i wonder if fears ever really go away, or if they just lose their power over us. | fear, love, power, powerful
anyone who is in love is making love the whole time, even when they're not. when two bodies meet, it is just the cup overflowing. they can stay together for hours, even days. they begin the dance one day and finish it the next, or--such is the pleasure they experience--they may never finish it. no eleven minutes for them. | love, sex
i feel like a part of my soul has loved you since the beginning of everything.maybe we’re from the same star. | love, soul, soulmates, star
does he love me? does he love anyone more than me? does he love me more than i love him? perhaps all the questions we ask of love, to measure, test, probe, and save it, have the additional effect of cutting it short. perhaps the reason we are unable to love is that we yearn to be loved, that is, we demand something (love) from our partner instead of delivering ourselves up to him demand-free and asking for nothing but his company. | love
love goes very far beyond the physical person of the beloved. it finds its deepest meaning in his spiritual being, his inner self. whether or not he is actually present, whether or not he is still alive at all, ceases somehow to be of importance. | love, spirituality, transcendence
a man in love can do extraordinary things, i don’t care if you’re an angel, you’re my angel, and i won’t let you go. | love
i love you more than there are stars in the sky and fish in the sea. | love
those we love never truly leave us, harry. there are things that death cannot touch. | death, death-of-a-loved-one, left-behind, love
time is too slow for those who wait, too swift for those who fear, too long for those who grieve, too short for those who rejoice, but for those who love, time is eternity. | love, time
here she is, all mine, trying her best to give me all she can. how could i ever hurt her? but i didn’t understand then. that i could hurt somebody so badly she would never recover. that a person can, just by living, damage another human being beyond repair. | hurt, love
what made you fall in love with a prostitute?”“i didn’t understand it myself at the time. but i’ve thought about it since, and i think it was because, knowing that your body would never be mine alone, i had to concentrate on conquering your soul. | love, lovers
do any of us, except in our dreams, truly expect to be reunited with our hearts' deepest loves, even when they leave us only for minutes, and on the most mundane of errands? no, not at all. each time they go from our sight we in our secret hearts count them as dead. having been given so much, we reason, how could we expect not to be brought as low as lucifer for the staggering presumption of our love? | love
people aren't born good or bad. maybe they're born with tendencies either way, but its the way you live your life that matters. | bad, good, life
love is—a shade of what i feel. | khalid, love
every true love and friendship is a story of unexpected transformation. if we are the same person before and after we loved, that means we haven't loved enough. | love
in a strange way, i had fallen in love with my depression. dr. sterling was right about that. i loved it because i thought it was all i had. i thought depression was the part of my character that made me worthwhile. i thought so little of myself, felt that i had such scant offerings to give to the world, that the one thing that justified my existence at all was my agony. | depression, existance, love, prozac
true beauty is something that attacks, overpowers, robs, and finally destroys. | beauty, cruelty, love
it's amazing how people can sound like retards when they're talking to their girlfriend, especially if they really love her a lot. because when you're just fucking someone you make a point of keeping your cool, but when you're really in love - it can sound pretty repulsive. | love
we cultivate love when we allow our most vulnerable and powerful selves to be deeply seen and known, and when we honor the spiritual connection that grows from that offering with trust, respect, kindness and affection.love is not something we give or get; it is something that we nurture and grow, a connection that can only be cultivated between two people when it exists within each one of them – we can only love others as much as we love ourselves.shame, blame, disrespect, betrayal, and the withholding of affection damage the roots from which love grows. love can only survive these injuries if they are acknowledged, healed and rare. | affection, betrayal, blame, connection, disrespect, love, self, shame, vulnerability
i'd learned that some things are best kept secret. | life, love, secrets
love is always patient and kind. it is never jealous. love is never boastful or conceited. it is never rude or selfish. it does not take offense and is not resentful. love takes no pleasure in other people’s sins, but delights in the truth. it is always ready to excuse, to trust, to hope, and to endure whatever comes. | 1-corinthians-13, love
i wanted to see the place where margaret grew to what she is, even at the worst time of all, when i had no hope of ever calling her mine. | hope, love, unrequited-love
you don't need to justify your love, you don't need to explain your love, you just need to practice your love. practice creates the master. | love, mastery, practice
you who suffer because you love, love still more. to die of love, is to live by it. | love
when we first met, i didn't want to get involved with anyone. i didn't have the time or energy, and i wasn't sure that i was ready for it. but you were so good to me, and i got swept up in that. and little by little, i found myself falling in love with you. | love, romance
when someone blushes, doesn't that mean 'yes'? | love
there are many forms of love and affection, some people can spend their whole lives together without knowing each other's names. naming is a difficult and time-consuming process; it concerns essences, and it means power. but on the wild nights who can call you home? only the one who knows your name. | love
conquer the angry one by not getting angry; conquer the wicked by goodness; conquer the stingy by generosity, and the liar by speaking the truth.] | anger, generosity, goodness, inspirational, kindness, knowledge, love, truth, wisdom
marius and cosette were in the dark in regard to each other. they did not speak, they did not bow, they were not acquainted; they saw each other; and, like the stars in the sky separated by millions of leagues, they lived by gazing upon each other. | les-miserables, love, stars, strangers, victor-hugo
if you're not comfortable enough with yourself or with your own truth when entering a relationship, then you're not ready for that relationship. | inspirational, life, love, relationship, self-knowledge, truth
there are some things, after all, that sally owens knows for certain: always throw spilled salt over your left shoulder. keep rosemary by your garden gate. add pepper to your mashed potatoes. plant roses and lavender, for luck. fall in love whenever you can. | lavender, love, magic, rosemary, salt, superstition
i love you every day. and now i will miss you every day. | death, death-and-dying, death-of-a-loved-one, love, mother
i know that's what people say-- you'll get over it. i'd say it, too. but i know it's not true. oh, youll be happy again, never fear. but you won't forget. every time you fall in love it will be because something in the man reminds you of him. | happiness, lost-love, love
it seems to me now that the plain state of being human is dramatic enough for anyone you don't need to be a heroin addict or a performance poet to experience extremity. you just have to love someone.  | heroin, humanity, love, poetry
no one has imagined us. we want to live like trees,sycamores blazing through the sulfuric air,dappled with scars, still exuberantly budding,our animal passion rooted in the city. | lesbian, love, poetry
in god there is no hunger that needs to be filled, only plenteousness that desires to give. | god, love
but i was youngand didn’t know betterand someone should have told me to capture every secondevery kiss & every nightbecause now i’m sitting here alone and it’s getting really hard to breath because tears are growing in my throat and they want to break out, but there are peoplewatchingand i just want to be somewhere silentsomewhere stillbut still i don’t want to be alone because i’m scared and lonelyand i don’t understandbecause i was alone my whole lifemy whole lifei was so damn lonely and i was content with thatbecause i liked myself and my own company and i didn’t need anyonei thoughtbut then there was you .. ...so, someone should have told me that love is for those few brave who can handle the unbearable emptiness,the unbearable guilt and lack of oneself,because i lost myself to someone i loveand i might get myself back one daybut it will take time, it will take time.this is gonna take some time.i wish someone would have told me this.someone should have told me this. | alone, charlotte-eriksson, empty-roads-broken-bottles, heartbreak, in-search-for-the-great-perhaps, kiss, love, love-story, moving-on, poetry, prose, sad, the-glass-child, the-great-perhaps, time, young-love, youth
the unqualified truth is, that when i loved estella with the love of a man, i loved her simply because i found her irresistible. once for all; i knew to my sorrow, often and often, if not always, that i loved her against reason, against promise, against peace, against hope, against happiness, against all discouragement that could be. once for all; i love her none the less because i knew it, and it had no more influence in restraining me, than if i had devoutly believed her to be human perfection. | estella, irresistibility, love, perfection, pip
whoever said that love hurts was wrong. love is excruciating, especially when you can feel it slipping through your fingers and there is nothing you can do about it. like someone was playing tug-of-war with my limbs, ripping to shreds whatever was left behind. what it would feel like when love was lost...i wouldn't survive that | crow-s-row, love
i wore your promise on my finger for one yeari'll wear your name on my heart til i diebecause you were my boy, you were my only boy forever. | breaking-up, breakups, broken-heart, broken-hearted, broken-hearted-quotes, love, love-at-first-sight, love-hurts, lovers, lovers-love-story, lovers-quarrels-lovers, lovers-sadness, moving-on, passion, stories, truths
cole,” i said, “do you think i’m lovable?”“as in ‘cuddly and’?”“as in ‘able to be loved,’” i said.cole’s gaze was unwavering. just for a moment, i had the strange idea that i could see exactly what he had looked like when he was younger, and exactly what he’d look like when he was older. it was piercing, a secret glimpse of his future. “maybe,” he said. “but you won’t let anybody try.”i closed my eyes and swallowed. “i can’t tell the diference between not fighting,” i said,“and giving up.”despite my eyelids being tightly shut, a single, hot tear ran out of my left eye. i was so angry that it had escaped. i was so angry.beneath me, the bed tipped as cole edged closer. i felt him lean over me. his breath, warm and measured, hit my cheek. two breaths. three. four. i didn’t know what i wanted. then i heard him stop breathing, and a second later, i felt his lips on my mouth. it wasn’t the sort of kiss i’d had with him before, hungry, wanting, desperate. it wasn’t the sort of kiss i’d had with anyone before. this kiss was so soft that it was like a memory of a kiss, so careful on my lips that it waslike a memory of a kiss, so careful on my lips that it was like someone running his fingers along them. my mouth parted and stilled; it was so quiet, a whisper, not a shout. cole’s hand touched my neck, thumb pressed into theskin next to my jaw. it wasn’t a touch that said “i need more”. it was a touch that said “i want this.”it was all completely soundless. i didn’t think either of us was breathing.cole sat back up, slowly, and i opened my eyes. his expression, as ever, was blank, the face he wore when something mattered.he said, “that’s how i would kiss you, if i loved you. | bed, cole, cole-and-isabel, cole-st-clair, forever, isabel, isabel-culpeper, kiss, lovable, love, tear, wolf
when a woman loves you she's not satisfied until she possesses your soul. because she's weak, she has a rage for domination, and nothing less will satisfy her. | love, women
"so many words get lost. they leave the mouth and lose their courage, wandering aimlessly until they are swept into the gutter like dead leaves. on rainy days, you can hear their chorus rushing past: iwasabeautifulgirlpleasedon’tgoitoobelievemybodyismadeofglass-i’veneverlovedanyoneithinkofmyselfasfunnyforgiveme….there was a time when it wasn’t uncommon to use a piece of string to guide words that otherwise might falter on the way to their destinations. shy people carried a little bunch of string in their pockets, but people considered loudmouths had no less need for it, since those used to being overheard by everyone were often at a loss for how to make themselves heard by someone. the physical distance between two people using a string was often small; sometimes the smaller the distance, the greater the need for the string.	the practice of attaching cups to the ends of string came much later. some say it is related to the irrepressible urge to press shells to our ears, to hear the still-surviving echo of the world’s first expression. others say it was started by a man who held the end of a string that was unraveled across the ocean by a girl who left for america.when the world grew bigger, and there wasn’t enough string to keep the things people wanted to say from disappearing into the vastness, the telephone was invented.sometimes no length of string is long enough to say the thing that needs to be said. in such cases all the string can do, in whatever its form, is conduct a person’s silence. | listening, love, poignant"
my love affair with (him) had a wonderful element of romance to it, which i will always cherish. but it was not an infatuation, and here’s how i can tell: because i did not demand that he become my great emancipator or my source of all life, nor did i immediately vanish into that man’s chest cavity like a twisted, unrecognizable, parasitical homonculus. during our long period of courtship, i remained intact within my own personality, and i allowed myself to meet (him) for who he was. | crush, infatuation, love
no matter how much you think you love somebody, you'll step back when the pool of their blood edges up too close. | love
how do i love thee? let me count the ways.i love thee to the depth and breadth and heightmy soul can reach, when feeling out of sightfor the ends of being and ideal grace.i love thee to the level of every day'smost quiet need, by sun and candle-light.i love thee freely, as men strive for right.i love thee purely, as they turn from praise.i love thee with the passion put to usein my old griefs, and with my childhood's faith.i love thee with a love i seemed to losewith my lost saints. i love thee with the breath,smiles, tears, of all my life; and, if god choose,i shall but love thee better after death. | love, poems, poetry, sonnet, sonnet-xlii
i thought we were a real love relationship. i did. i was very invested in love, but it was just this long long sex thing that could end at any moment because after all, it's just about getting off. almost all the time, you tell yourself you're loving somebody when you're just using them. this only looks like love. | love
what's a fuck when what i want is love? | love, sex
a man is lucky if he is the first love of a woman. a woman is lucky if she is the last love of a man. | first-love, gender-roles, last-love, love, love-makes-you-do-the-wacky, men, men-mars-women-venus, relationships, women
a lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment. | humor, love, romantic, women
statistically speaking, there is a 65 percent chance that the love of your life is having an affair. be very suspicious. | adultery, humor, infidelity, love, relationships, romance, statistics, suspicion
i'm with you. no matter what else you have in your head i'm with you and i love you. | love
the only obsession everyone wants: 'love.' people think that in falling in love they make themselves whole? the platonic union of souls? i think otherwise. i think you're whole before you begin. and the love fractures you. you're whole, and then you're cracked open.  | love
do not allow me to forget you | forgetting, love
you know what the secret is? it's so simple. we love one another. we're nice to one another. do you know how rare that is? - carmen | friendship, love
i believe in the immeasurable power of love that true love can endure any circumstance and reach across any distance. | circumstance, distance, endure, inspirational, long-distance-love, love, power, relationships, soul-mates, true-love
it's one thing to fall in love. it's another to feel someone else fall in love with you, and to feel a responsibility toward that love. | love
just when you think it can't get any worse, it can. and just when you think it can't get any better, it can. | life, love
now, as we stand three feet apart and stare at each other, i feel the full distance that comes with spending so much time apart, a moment filled with the electricity of a first meeting and the uncertainty of strangers. | champion, day, june, love, marie-lu, strangers
we waste time looking for the perfect lover, instead of creating the perfect love. | love, sex
the right thing at the wrong tme is the wrong thing. | inspirational, love, timing
"you are my heart, my life, my entire existence."" -ash | ash, iron-fey-trilogy, julie-kagawa, love"
and then i opened my eyes and it was just grace and me - nothing anywhere but grace and me - she pressing her lips together as though she were keeping my kiss inside her, and me, holding this moment that was as fragile as a bird in my hands. | kissing, love
people talk about the happy quiet that can exist between two loves, but this, too, was great; sitting between his sister and his brother, saying nothing, eating. before the world existed, before it was populated, and before there were wars and jobs and colleges and movies and clothes and opinions and foreign travel -- before all of these things there had been only one person, zora, and only one place: a tent in the living room made from chairs and bed-sheets. after a few years, levi arrived; space was made for him; it was as if he had always been. looking at them both now, jerome found himself in their finger joints and neat conch ears, in their long legs and wild curls. he heard himself in their partial lisps caused by puffy tongues vibrating against slightly noticeable buckteeth. he did not consider if or how or why he loved them. they were just love: they were the first evidence he ever had of love, and they would be the last confirmation of love when everything else fell away. | family, love, siblings
not that she didn't love almost every boy she'd ever met, and not that every boy in the world didn't totally love her. it was impossible not to. but she wanted someone to love her and shower her with attention the way only a boy who was completely in love with her could. the rare sort of love. true love. the kind of love she'd never had. | gossip-girl, love, serena
if i love you, what business is it of yours? | business, love
that i shall love always, i argue theethat love is life,and life hath immortality | life, love
i have such a fear of finding another like myself, and such a desire to find one! i am so utterly lonely, but i also have such a fear that my isolation be broken through, and i no longer be the head and ruler of my universe. | fear, isolation, love
i thought you were gone forever, i thought you’d walked away from everything, because i failed, because i destroyed the only thing that ever mattered to me. i waited for you to come, but you didn’t. | hurt, lost, love
love is made up of three unconditional properties in equal measure:1. acceptance2. understanding3. appreciationremove any one of the three and the triangle falls apart.which, by the way, is something highly inadvisable. think about it — do you really want to live in a world of only two dimensions?so, for the love of a triangle, please keep love whole. | acceptance, affection, appreciation, complex, dimension, dimensions, love, love-triangle, measure, properties, property, qualities, three, three-dimensional, triangle, trinity, two, two-dimensional, unconditional, unconditional-acceptance, unconditional-love, understand, understanding, whole, world
she didn't belong anywhere and she never really belonged to anyone. and everyone else belonged somewhere and to someone. people thought she was too wonderful. but she only wanted to belong to someone. people always thought she was too wonderful to belong to them or that something too wonderful would hurt too much to lose. and that's why she liked him-- because he just thought she was crazy. | belonging, belonging-to-someone, boy-meets-girl, craziness, crazy, heartwarming, inspirational-love, love, lovers, wonderful
the course of true love never did run smooth. | love, true-love
love is a state in which a man sees things most decidedly as they are not. | love
i didn't want to kiss you goodbye — that was the trouble — i wanted to kiss you good night — and there's a lot of difference. | ernest-hemingway, kiss, love, trouble
i was his exception, and as much as i had tried to fight my feelings, he was mine. | abby-abernathy, love, romance, travis-maddox
when two people meet and fall in love, there's a sudden rush of magic. magic is just naturally present then. we tend to feed on that gratuitous magic without striving to make any more. one day we wake up and find that the magic is gone. we hustle to get it back, but by then it's usually too late, we've used it up. what we have to do is work like hell at making additional magic right from the start. it's hard work, but if we can remember to do it, we greatly improve our chances of making love stay. | love, magic
well, nowif little by little you stop loving mei shall stop loving youlittle by littleif suddenly you forget medo not look for mefor i shall already have forgotten youif you think it long and mad the wind of banners that passes through my lifeand you decide to leave me at the shore of the heart where i have rootsrememberthat on that day, at that hour, i shall lift my armsand my roots will set off to seek another land | forgetting, heartbreak, inspirational, living, love, moving-on
love is so unpredictable. that's what makes it so great. | love
if music be the food of love, play on. | love, music
people are afraid of themselves, of their own reality; their feelings most of all. people talk about how great love is, but that’s bullshit. love hurts. feelings are disturbing. people are taught that pain is evil and dangerous. how can they deal with love if they’re afraid to feel? pain is meant to wake us up. people try to hide their pain. but they’re wrong. pain is something to carry, like a radio. you feel your strength in the experience of pain. it’s all in how you carry it. that’s what matters. pain is a feeling. your feelings are a part of you. your own reality. if you feel ashamed of them, and hide them, you’re letting society destroy your reality. you should stand up for your right to feel your pain. | jim, life, morrison, pain, reality
where there is love there is life. | life, love
looking at him now-even if she hadn't been in love with him, that part of her that was her mother's daugher, that loved every beautiful thing for its beauty alone, would still have wanted him. | adoration, beauty, love, well-said
love is like the sea. it's a moving thing, but still and all, it takes its shape from the shore it meets, and it's different with every shore. | love
i would kiss you in the middle of the ocean during a lightning storm cuz i'd rather be left for﻿ dead than wondering what thunder sounds like. | andrea-gibson, love, poem, wasabi
it may be important to great thinkers to examine the world, to explain and despise it. but i think it is only important to love the world, not to despise it, not for us to hate each other, but to be able to regard the world and ourselves and all beings with love, admiration and respect. | admiration, hermann-hesse, love, philosophy, respect, world
he didn't look like the same person who picked me up this morning. noah--sarcastic, distant, untouchable noah--cared. and that made him real. | love, noah-shaw
"oh, don't mind me,"" came an extremely sarcastic voice near the wall. “you two go ahead and make out–i'll just sit here and bleed quietly. | allie, humor, jackal, julie-kagawa, love, page-213, vampires, zeke"
i understood that as much as i had resisted the outside, as much as i had constricted my life, as much as i had closed and narrowed the channels into me, there were still many takers for the quiet heart. | love
a mighty pain to love it is,and 't is a pain that pain to miss;but of all pains, the greatest painit is to love, but love in vain. | love, unappreciated, unrequited-love, vain
in vain have i struggled. it will not do. my feelings will not be repressed. you must allow me to tell you how ardently i admire and love you. | love, mr-darcy
i will love you always. when this red hair is white, i will still love you. when the smooth softness of youth is replaced by the delicate softness of age, i will still want to touch your skin. when your face is full of the lines of every smile you have ever smiled, of every surprise i have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,i will treasure you all the more, because i was there to see it all. i will share your life with you, meredith, and i will love you until the last breath leaves your body or mine. | inspirational, love, relationships
if i were to live a thousand years, i would belong to you for all of them. if we were to live a thousand lives, i would want to make you mine in each one. | love
you’ve changed me forever. and i’ll never forget you. | america, change, goodbye, love, maxon, relationship, sad, the-elite, the-selection
the best use of life is love. the best expression of love is time. the best time to love is now. | life, love, sacrifice, the-purpose-driven-life, time
i wanted a perfect ending. now i've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle, and end. life is about not knowing, having to change, taking the moment and making the best of it, without knowing what's going to happen next.delicious ambiguity. | ambiguity, life, stories, uncertainty, unpredictability
love heals scars love left | love
a warrior does not give up what he loves, he finds the love in what he does | give-up, love, warrior
the things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy. | hope, inspiration, inspirational, life, truth
nothing is more curious and awkward than the relationship of two people who only know each other with their eyes — who meet and observe each other daily, even hourly and who keep up the impression of disinterest either because of morals or because of a mental abnormality. between them there is listlessness and pent-up curiosity, the hysteria of an unsatisfied, unnaturally suppressed need for communion and also a kind of tense respect. because man loves and honors man as long as he is not able to judge him, and desire is a product of lacking knowledge. | friendship, life, love, romance
i think you can love a person too much.you put someone up on a pedestal, and all of a sudden, from that perspective, you notice what's wrong - a hair out of place, a run in a stocking, a broken bone. you spend all your time and energy making it right, and all the while, you are falling apart yourself. you don't even realize what you look like, how far you've deteriorated, because you only have eyes for someone else. | love, obsession
you are the most important thing to me now. the most important thing to me ever. | adoration, love
i've decided that i'm not going to try to squeeze myself into a friendship that hurts me anymore. i'm going to let her go and just be friends with people who make me feel good about myself. | friends, girl-online, love, online, self
you know that i could as soon forget you as my existence! | love
don't go far off, not even for a day,because i don't know how to say it - a day is longand i will be waiting for you, as inan empty station when the trains areparked off somewhere else, asleep.don't leave me, even for an hour, because thenthe little drops of anguish will all run together,the smoke that roams looking for a home will driftinto me, choking my lost heart.oh, may your silhouette never dissolveon the beach, may your eyelids never flutterinto the empty distance. don't leave me fora second, my dearest, because in that moment you'llhave gone so far i'll wander mazilyover all the earth, asking, will youcome back? will you leave me here, dying? | love, poetry, spanish
i'd shut the whole world down just to tell you | love
but i miss screamin' and fightin' and kissin' in the rain and it's 2 a.m. and i'm cursin' your name. you're so in love the you act insane, and that's the way i loved you. | insane, love, the-way-i-loved-you
he looked at her as a man might look at a faded flower he had plucked, in which it was difficult for him to trace the beauty that had made him pick and so destroy it | anna-karenina, despair, leo-tolstoy, love, sadness
what irritated me most in that entire situation was the fact that iwasn’t feeling humiliated, or annoyed, or even fooled. betrayal waswhat i felt, my heart broken not just by a guy i was in love with, butalso by, as i once believed, a true friend. | betrayal, cheating, love
i am the poet of the poor, because i was poor when i loved; since i could not give gifts, i gave words. | love, poetry, words
i was the lion who forced you to join with aravis. i was the cat who comforted you among the houses of the dead. i was the lion who drove the jackals from you while you slept. i was the lion who gave the horses the new strength of fear for the last mill so that you should reach king lune in time. and i was the lion you do not remember who pushed the boat in which you lay, a child near death, so that it came to shore where a man sat, wakeful at midnight, to receive you. | aslan, love, power
memory is a funny thing. when i was in the scene, i hardly paid it any mind. i never stopped to think of it as something that would make a lasting impression, certainly never imagined that eighteen years later i would recall it in such detail. i didn't give a damn about the scenery that day. i was thinking about myself. i was thinking about the beautiful girl walking next to me. i was thinking about the two of us together, and then about myself again. it was the age, that time of life when every sight, every feeling, every thought came back, like a boomerang, to me. and worse, i was in love. love with complications. the scenery was the last thing on my mind. | love, memory
love is like a good cake; you never know when it's coming, but you'd better eat it when it does! | cake, inspirational, inspirational-life, inspirational-love, inspirational-quotes, love, true-love
they are orphans again, with no true home but each other and whatever life they can make together on the other side of the sea. | love, sweet
i know we're not saints or virgins or lunatics; we know all the lust and lavatory jokes, and most of the dirty people; we can catch buses and count our change and cross the roads and talk real sentences. but our innocence goes awfully deep, and our discreditable secret is that we don't know anything at all, and our horrid inner secret is that we don't care that we don't. | companions, earthy, hope, innocence, love, optimism, partnership
people who meet in airports are seventy-two percent more likely to fall for each other than people who meet anywhere else. | airport, love, love-at-first-sight
"it's the most wonderful and terrible thing that can ever happen to you,"" she said simply. ""you know that you've found something amazing, and you want to hold on to it forever; and every second after you have it, you fear the moment you might lose it.""i sighed softly. she was absolutely right.love was beautiful fear. | love"
fear can’t be reasoned with. neither can hate. they’re like love. they’re almost identical emotions. that’s why ares and aphrodite like each other. their twin sons – fear and panic – were spawned from both war and love. | aphrodite, ares, fear, love, piper-mclean, wisdom
"i am surprised how difficult for people is to say ""i love you"". they only say the three magic words when they are sure they will hear ""i love you too"" back. c'mon! spread the energy of love without expecting anything! cowards are incapable of expressing love; it is the prerogative of the brave | love"
the room fell quiet. and as i read down the list of over one hundred and fifty eight-grade boys, i realized that to me, there had only ever been one boy. | bhie, bryce-loski, crush, flipped, julie-baker, love, there-had-only-been-you
but if you love and must needs have desires, let these be your desires:to melt and be like a running brook that sings its melody to the night.to know the pain of too much tenderness.to be wounded by your own understanding of love;and to bleed willingly and joyfully.to wake at dawn with a winged heart and give thanks for another day of loving;to rest at noon hour and meditate love's ecstasy;to return home at eventide with gratitude;and then to sleep with a prayer for the beloved in your heart and a song of praise on your lips. | desire, joy, love
i threw myself into that fire, threw myself into it, into him, and let myself burn. | feyre, fire, love, passion, tamlin
